bin,rtmed
1,6.10373
2,6.11213
4,6.11308
6,6.114
7,6.11428
9,6.11704
18,6.14238
21,6.163
40,6.19539
42,6.19692
60,6.21247
63,6.2154
86,6.26111
88,6.28977
95,6.3417
104,6.36859
108,6.36862
120,6.38175
125,6.52338
126,6.52551
128,6.53713
129,6.56092
134,6.81383
139,6.87589
140,6.8833
141,6.91348
142,7.12902
155,7.18997
159,7.25203
163,7.26152
165,7.2674
166,7.38245
178,7.74867
180,7.76387
188,8.24587
191,8.37503
192,8.37869
193,8.37955
194,8.37992
197,8.38606
198,8.3861
199,8.38611
200,8.39188
207,8.64393
208,8.64393
209,8.64407
211,8.64422
213,8.64447
215,8.64462
216,8.6447
217,8.64489
219,8.64493
220,8.64533
221,8.64533
223,8.6479
231,8.65013
234,8.65042
235,8.65064
236,8.65066
238,8.65118
237,8.65118
239,8.65118
242,8.65139
243,8.65142
244,8.65148
245,8.65148
248,8.65159
249,8.65162
250,8.65162
257,8.65167
259,8.65167
256,8.65167
258,8.65167
261,8.65168
262,8.65169
265,8.65177
266,8.65177
267,8.65178
268,8.65178
280,8.65178
273,8.65178
282,8.65181
283,8.65181
293,8.6519
294,8.65192
299,8.65193
300,8.65193
305,8.65197
310,8.65201
318,8.65215
319,8.65215
320,8.65215
321,8.6527
322,8.6527
324,8.65325
326,8.65428
327,8.65428
329,8.6547
333,8.66018
334,8.66019
335,8.66038
340,8.66728
341,8.66864
349,8.8493
350,8.84965
351,8.85088
358,8.86983
359,8.87824
360,8.9998
362,9.00468
363,9.00583
364,9.00845
366,9.013
367,9.01355
371,9.31458
377,9.36803
378,9.38689
385,9.40865
391,9.4125
394,9.6283
395,9.63324
396,9.63717
397,9.64067
398,9.64167
399,9.64908
400,9.65193
401,9.65193
402,9.65252
403,9.65313
404,9.6532
405,9.65331
406,9.65343
407,9.65728
408,9.66077
410,9.69182
414,10.23865
417,11.09869
421,11.21377
425,11.23197
448,11.26938
449,11.27008
497,11.31195
499,11.31325
504,11.31538
507,11.31753
509,11.31843
514,11.32328
515,11.32398
519,11.3311
520,11.3311
521,11.33117
523,11.33445
524,11.33823
527,11.34479
532,11.34707
540,11.35803
543,11.36035
546,11.36141
551,11.3691
553,11.37493
554,11.3752
555,11.37648
560,11.38278
561,11.38278
564,11.39743
565,11.39883
571,11.41173
576,11.43338
577,11.43708
579,11.44505
590,11.51013
596,11.52625
599,11.53063
602,11.53948
614,11.59367
620,11.62642
626,11.6569
628,11.66443
647,11.69478
651,11.70157
658,11.716
664,11.74517
666,11.75168
687,11.80883
697,11.82788
698,11.82882
699,11.82928
702,11.83392
707,11.84275
709,11.84598
711,11.85023
713,11.8524
718,11.85472
722,11.8691
727,11.87495
729,11.87605
734,11.90287
735,11.9075
736,11.91378
744,12.15845
747,12.16933
750,12.18876
759,12.42625
760,12.4319
761,12.59587
764,12.72694
781,13.88717
782,13.88749
787,13.88808
788,13.88812
789,13.88844
790,13.88902
791,13.88902
798,13.8946
801,13.89467
804,13.89484
806,13.89528
809,13.89563
819,13.90016
828,13.95546
837,14.59741
847,14.86683
859,14.87442
860,14.87443
862,14.87448
866,14.87463
869,14.87841
878,14.8818
883,14.88188
890,14.88204
891,14.88205
893,14.88212
946,15.66365
949,15.67108
953,15.74339
968,15.97474
969,16.04265
978,17.37847
983,17.74295
985,17.75045
988,17.75425
989,17.75429
990,17.75803
994,17.75815
997,17.76189
999,17.76562
1000,17.76562
1002,17.76563
1006,17.76565
1008,17.76566
1010,17.76567
1011,17.76567
1012,17.76567
1014,17.76568
1015,17.76568
1018,17.76573
1019,17.76575
1020,17.76947
1021,17.7695
1022,17.7732
1023,17.77322
1024,17.77322
1026,17.77333
1043,19.04033
1044,19.04052
1045,19.04052
1047,19.04373
1050,19.04557
1051,19.04808
1052,19.04813
1058,19.04817
1067,19.04925
1076,19.05069
1080,19.05148
1087,19.05317
1089,19.05363
1098,19.05568
1101,19.05572
1103,19.05572
1107,19.05573
1108,19.05573
1109,19.05573
1112,19.05575
1113,19.05575
1118,19.05577
1127,19.05691
1129,19.05736
1131,19.058
1136,19.05943
1137,19.06063
1138,19.06063
1139,19.06063
1143,19.06212
1144,19.06333
1145,19.06333
1146,19.06334
1149,19.06395
1150,19.06425
1152,19.06447
1154,19.06637
1157,19.06834
1158,19.06838
1161,19.07214
1163,19.07847
1165,19.07848
1167,19.0785
1168,19.07852
1169,19.07857
1171,19.07861
1172,19.07896
1173,19.08172
1174,19.08232
1175,19.08263
1176,19.08278
1177,19.08361
1178,19.08494
1179,19.08499
1180,19.08605
1181,19.08605
1182,19.08608
1183,19.08615
1184,19.08831
1185,19.08863
1186,19.08987
1188,19.09217
1189,19.09338
1190,19.09414
1192,19.09595
1193,19.09607
1194,19.09667
1195,19.09748
1197,19.09813
1198,19.09828
1199,19.09843
1200,19.09843
1201,19.09983
1202,19.10123
1203,19.10128
1204,19.10129
1205,19.1014
1206,19.10214
1207,19.1023
1208,19.10233
1209,19.10233
1211,19.10482
1212,19.10599
1215,19.11033
1222,20.30788
1225,20.59648
1227,20.6191
1230,20.62658
1236,20.663
1237,20.66425
1239,20.66463
1241,20.67214
1242,20.67223
1246,20.67998
1252,20.6873
1253,20.68749
1255,20.6876
1264,20.69503
1270,20.71022
1272,20.71761
1277,20.74406
1281,20.75658
1284,20.77863
1285,20.77958
1288,20.78675
1290,20.79038
1294,20.80905
1295,20.81025
1296,20.8113
1298,20.82368
1300,20.82563
1305,20.82958
1331,20.86843
1350,20.8799
1356,20.88183
1358,20.8827
1368,20.88708
1369,20.88737
1379,20.89361
1380,20.89373
1383,20.89417
1388,20.89769
1389,20.89825
1398,20.90157
1401,20.90246
1403,20.90387
1404,20.90524
1407,20.90934
1416,20.91189
1420,20.91643
1422,20.91772
1424,20.91824
1425,20.91968
1428,20.92273
1430,20.92392
1436,20.92553
1445,20.93858
1448,20.94115
1455,20.95374
1456,20.95576
1458,20.95683
1460,20.96063
1464,20.96436
1465,20.97128
1468,20.98718
1469,20.98845
1470,20.99318
1484,21.05293
1485,21.06302
1486,21.06375
1488,21.06634
1489,21.07166
1490,21.07175
1491,21.07472
1496,21.08558
1505,21.09745
1515,21.10438
1523,21.1065
1524,21.1065
1531,21.10949
1533,21.10963
1542,21.11227
1543,21.11333
1546,21.11406
1547,21.11463
1554,21.11584
1556,21.11643
1558,21.11647
1565,21.11692
1567,21.11715
1569,21.11738
1570,21.11755
1587,21.12037
1589,21.12161
1598,21.12456
1599,21.12498
1602,21.12547
1604,21.12548
1605,21.12652
1610,21.12763
1611,21.1277
1623,21.1316
1627,21.13303
1631,21.13677
1641,21.14403
1645,21.15338
1649,21.25665
1653,21.37523
1654,21.50719
1656,21.5296
1658,21.70046
1659,21.70418
1667,21.8521
1670,21.86356
1676,21.87493
1677,21.87864
1679,21.8787
1689,21.9016
1697,21.91695
1699,21.92356
1700,21.92378
1701,21.9243
1702,21.9244
1704,21.92447
1705,21.92453
1706,21.92739
1708,21.92942
1709,21.93017
1710,21.93093
1713,21.93165
1714,21.93175
1717,21.93193
1718,21.93195
1719,21.932
1722,21.93742
1724,21.93913
1725,21.93916
1726,21.93919
1727,21.9392
1729,21.93925
1731,21.94025
1733,21.94335
1734,21.94523
1736,21.94704
1737,21.94725
1739,21.95182
1747,22.4513
1748,22.45261
1749,22.4554
1750,22.45857
1752,22.74692
1754,23.21418
1756,23.21487
1757,23.21523
1758,23.21562
1759,23.22083
1762,23.22158
1764,23.22188
1768,23.22584
1770,23.23656
1771,23.24743
1778,23.59508
1779,23.6052
1780,23.60788
1781,23.64988
1784,23.70002
1785,23.70691
1787,23.7076
1790,23.74507
1800,24.10981
1801,24.1169
1811,24.12445
1814,24.12493
1828,24.13168
1833,24.1325
1841,24.13493
1846,24.14397
1851,24.15522
1852,24.15528
1854,24.15532
1856,24.16293
1858,24.30675
1860,24.42089
1870,24.64858
1871,24.7168
1877,24.73965
1879,24.74718
1882,24.94834
1884,25.01943
1888,25.0507
1890,25.15688
1891,25.157
1892,25.157
1893,25.16457
1900,25.43023
1909,25.52154
1911,25.52883
1912,25.52883
1915,25.5289
1917,25.53644
1922,25.55168
1928,25.55926
1939,25.56683
1966,25.58203
1972,25.68065
1973,25.69578
1976,25.83238
1981,26.21155
1985,26.9404
1990,26.96308
1999,26.97378
2003,26.97813
2010,26.98472
2020,26.99357
2021,26.99363
2024,27.00032
2028,27.00102
2031,27.00481
2034,27.00821
2042,27.01252
2043,27.0151
2055,27.01638
2060,27.02005
2074,27.02385
2075,27.02385
2076,27.02385
2077,27.02387
2080,27.02388
2083,27.02392
2084,27.02392
2091,27.024
2101,27.03073
2103,27.03118
2110,27.03143
2111,27.03143
2112,27.03143
2114,27.03147
2117,27.03148
2118,27.03148
2119,27.03149
2129,27.03158
2131,27.0316
2148,27.03897
2150,27.03898
2151,27.03898
2156,27.039
2157,27.039
2169,27.03906
2174,27.03922
2175,27.03925
2178,27.03933
2179,27.03933
2182,27.03947
2186,27.04277
2187,27.04278
2189,27.04291
2192,27.04302
2205,27.04653
2207,27.04655
2217,27.0466
2225,27.04671
2242,27.04693
2245,27.04966
2248,27.05032
2250,27.05039
2251,27.05041
2253,27.05053
2255,27.05069
2257,27.05368
2261,27.0541
2262,27.05415
2264,27.05417
2285,27.05448
2288,27.0546
2289,27.0546
2293,27.05752
2298,27.06143
2306,27.06172
2331,27.0655
2334,27.06587
2335,27.06614
2339,27.06872
2354,27.06945
2373,27.07773
2385,27.10728
2389,27.11475
2390,27.12242
2391,27.12247
2392,27.12296
2394,27.13003
2395,27.13003
2397,27.13012
2399,27.1453
2400,27.15055
2402,27.16037
2403,27.16038
2404,27.16095
2406,27.16822
2407,27.17288
2409,27.20592
2413,27.27427
2416,27.35459
2420,27.43388
2437,27.69168
2440,27.71473
2446,28.64014
2447,28.79958
2448,28.90961
2449,28.96645
2450,28.97412
2451,28.98928
2453,29.04898
2455,29.04906
2458,29.04993
2460,29.04998
2461,29.05
2462,29.05003
2464,29.06118
2467,29.23969
2468,29.23972
2472,29.37632
2475,29.38393
2476,29.38928
2480,29.59853
2486,29.7893
2487,29.78985
2491,29.79367
2492,29.7937
2493,29.79743
2497,29.8014
2498,29.80275
2501,29.89373
2502,29.9455
2505,29.96818
2507,29.96822
2512,29.97005
2513,29.97118
2516,29.9751
2519,29.9758
2520,29.9758
2521,29.9758
2523,29.97582
2526,29.97583
2533,29.97585
2534,29.97585
2540,29.97595
2547,29.97668
2549,29.97957
2551,29.97961
2553,29.97964
2559,29.98013
2565,29.9806
2568,29.98333
2574,29.98333
2576,29.98334
2586,29.98337
2587,29.98337
2588,29.98337
2590,29.98338
2591,29.98338
2597,29.98338
2607,29.98338
2592,29.98338
2594,29.98338
2595,29.98338
2600,29.98338
2601,29.98338
2610,29.98339
2612,29.9834
2614,29.9834
2620,29.9834
2618,29.9834
2633,29.98341
2636,29.98342
2639,29.98342
2637,29.98342
2650,29.98343
2653,29.98344
2656,29.98344
2658,29.98345
2660,29.98345
2664,29.98346
2665,29.98346
2668,29.98347
2670,29.98347
2674,29.98348
2675,29.98348
2680,29.98348
2681,29.98348
2695,29.98721
2699,29.98723
2700,29.98723
2703,29.98723
2709,29.98895
2710,29.99093
2715,29.99095
2738,29.99098
2740,29.99098
2735,29.99098
2737,29.99098
2742,29.99099
2745,29.991
2746,29.99101
2748,29.99102
2753,29.99103
2768,29.99106
2772,29.99108
2777,29.99162
2787,29.99865
2789,30.00408
2790,30.01351
2793,30.10101
2794,30.10148
2796,30.10482
2798,30.10484
2803,30.10988
2821,30.21127
2823,30.21199
2824,30.21212
2830,30.21489
2844,30.2188
2846,30.21888
2848,30.21895
2851,30.21902
2854,30.21909
2858,30.2194
2860,30.21948
2862,30.2203
2865,30.2224
2867,30.22248
2868,30.2228
2870,30.22319
2872,30.22588
2873,30.22588
2878,30.22622
2880,30.22623
2881,30.22625
2882,30.22627
2883,30.22628
2886,30.22638
2887,30.22639
2891,30.22647
2893,30.22662
2896,30.22748
2899,30.23068
2901,30.23415
2906,31.15985
2907,31.1619
2908,31.16543
2917,32.91776
2919,32.91958
2920,32.92015
2921,32.92015
2922,32.92433
2925,32.94942
2929,32.957
2933,32.96438
2934,32.96453
2935,32.97177
2936,32.97887
2937,32.9794
2941,34.03213
2945,34.2219
2946,34.27983
2947,34.28532
2948,34.29257
2949,34.29322
2951,34.30823
2952,34.30946
