ID,Z,L,N,treatment,GSH_nM_mL
C13,No,No,No,C,0.8434
C14,No,No,No,C,0.3836
C15,No,No,No,C,1.0706
C6,No,No,No,C,1.805
C17,No,No,No,C,12.0452
C18,No,No,No,C,0.355
L13,No,Yes,No,L,11.4874
L14,No,Yes,No,L,1.61
L15,No,Yes,No,L,6.3898
L16,No,Yes,No,L,0.138
L17,No,Yes,No,L,2.846
L18,No,Yes,No,L,14.6096
LN13,No,Yes,Yes,LN,6.1376
LN14,No,Yes,Yes,LN,2.5452
LN15,No,Yes,Yes,LN,5.2236
LN1,No,Yes,Yes,LN,11.941
LN17,No,Yes,Yes,LN,0.8648
LN18,No,Yes,Yes,LN,6.3278
N13,No,No,Yes,N,12.0964
N14,No,No,Yes,N,8.8934
N15,No,No,Yes,N,0.6688
N16,No,No,Yes,N,10.9616
N17,No,No,Yes,N,2.9096
N18,No,No,Yes,N,1.1508
Z13,Yes,No,No,Z,0.1658
Z14,Yes,No,No,Z,1.0758
Z15,Yes,No,No,Z,1.9626
Z16,Yes,No,No,Z,0.7848
Z17,Yes,No,No,Z,0.1696
Z18,Yes,No,No,Z,4.5028
ZL13,Yes,Yes,No,ZL,0.8742
ZL14,Yes,Yes,No,ZL,0.0286
ZL15,Yes,Yes,No,ZL,0.9888
ZL16,Yes,Yes,No,ZL,1.531
ZL17,Yes,Yes,No,ZL,0.9664
ZL18,Yes,Yes,No,ZL,0.1188
ZLN13,Yes,Yes,Yes,ZLN,16.1362
ZLN14,Yes,Yes,Yes,ZLN,0.7796
ZLN15,Yes,Yes,Yes,ZLN,0.807
ZLN16,Yes,Yes,Yes,ZLN,1.6842
ZLN17,Yes,Yes,Yes,ZLN,0.763
ZLN18,Yes,Yes,Yes,ZLN,6.7814
ZN13,Yes,No,Yes,ZN,18.102
ZN14,Yes,No,Yes,ZN,13.9246
ZN15,Yes,No,Yes,ZN,7.4456
ZN16,Yes,No,Yes,ZN,2.1936
ZN17,Yes,No,Yes,ZN,8.188
ZN18,Yes,No,Yes,ZN,5.901
