Sample,CON 13,CON 14,CON 15,CON 16,CON 17,CON 18,L 13,L 14,L 15,L 16,L 17,L 18,LN 13,LN 14,LN 15,LN 16,LN 17,LN 18,N 13,N 14,N 15,N 16,N 17,N 18,Z 13,Z 14,Z 15,Z 16,Z 17,Z 18,ZL 15,ZL 16,ZL 17,ZL 18,ZLN 13,ZLN 14,ZLN 15,ZLN 16,ZLN 17,ZLN 18,ZN 13,ZN 14,ZN 15,ZN 16,ZN 17,ZN 18
Class,1_Con,1_Con,1_Con,1_Con,1_Con,1_Con,3_L,3_L,3_L,3_L,3_L,3_L,7_LN,7_LN,7_LN,7_LN,7_LN,7_LN,4_N,4_N,4_N,4_N,4_N,4_N,2_Z,2_Z,2_Z,2_Z,2_Z,2_Z,5_ZL,5_ZL,5_ZL,5_ZL,8_ZLN,8_ZLN,8_ZLN,8_ZLN,8_ZLN,8_ZLN,6_ZN,6_ZN,6_ZN,6_ZN,6_ZN,6_ZN
6.504317,1500,2500,2500,2500,11883,2500,1500,2727,1500,1500,2500,3478,1500,1500,19317,2500,37273,2500,1091074,2500,2885,4073,2500,2500,20288,2500,3535,5577,2905,5024,2500,1500,1500,2500,1500,1500,9263,1500,2379,29597,2500,1500,838569,6690,1500,102303
6.511917,1500,2500,2500,2500,2500,2500,1500,1500,1500,1500,2500,2500,1500,1500,2500,2500,5148,2500,1500,2500,1500,1500,2500,2500,2875,2500,1500,2500,2500,2500,2500,1500,1500,2500,1500,1500,2500,1500,1500,4032,2500,1500,2500,1500,1500,9984
6.5195,1500,134140,2500,2500,2500,119814,1500,1500,1500,1500,2500,3527,1500,1500,2500,2500,1500,2500,241106,2500,1500,1500,2500,2500,1500,2500,1500,2500,2500,2500,101545,1500,166759,2500,268267,150325,2500,1500,1500,1500,2500,1500,185905,1500,1500,2500
6.527083,1500,675316,2500,2500,2500,623566,1500,1500,1500,1500,2500,2500,1500,1500,2500,2500,1500,2500,1226374,2500,1500,1500,2500,2500,1500,2500,1500,2500,2500,2500,546610,1500,837126,2500,1366404,776548,2500,1500,1500,1500,2500,1500,953809,1500,1500,2500
6.534683,2500,1500,1500,1500,6513,36495,2500,2500,2500,2500,1500,1500,2500,2500,11382,1500,19398,1500,629043,1500,2500,2500,1500,1500,26839,1500,2500,1500,1500,3310,69832,2500,39950,1500,2500,2500,6831,11559,2500,15973,1500,2500,1500,2500,2500,43896
6.542267,2500,108905,1500,1500,1500,4149,2500,2500,2500,2500,1500,1500,2500,2500,2576,1500,4470,1500,2500,1500,2500,2500,1500,1500,2500,1500,2500,1500,1500,1500,5350,2500,2500,1500,2500,2500,1500,2500,2500,4042,1500,2500,1500,2500,2500,11584
6.54985,2500,1500,1500,1500,1500,4297,2500,2500,2500,2500,1500,1500,2500,2500,1500,1500,2500,1500,2500,1500,2500,2500,1500,1500,2500,1500,2500,2099,1500,1500,1500,2500,2500,1500,2500,2500,1500,10415,2500,2500,1500,2500,1500,2500,2500,1500
6.55745,1500,98425,2500,2500,5506,83139,1500,1500,1500,1500,2500,2500,1500,1500,8447,2500,15350,2500,103688,2500,1500,1500,2500,2500,68056,2500,1500,2500,2500,2500,130144,1500,95397,2500,105300,132360,2500,1500,1500,12154,2500,1500,115657,1500,1500,48937
6.565033,1500,102996,2500,2500,2500,97052,1500,1500,1500,1500,2500,2500,1500,1500,2500,2500,1500,2500,111686,2500,1500,1500,2500,2500,1500,2500,1500,2500,2500,2500,125318,1500,61802,2500,101031,139276,2500,1500,1500,1500,2500,1500,76290,1500,1500,2500
