Sample,CON13,CON14,CON15,CON16,CON17,CON18,L13,L14,L15,L16,L17,L18,LN13,LN14,LN15,LN16,LN17,LN18,N13,N14,N15,N16,N17,N18,Z13,Z14,Z15,Z16,Z17,Z18,ZL15,ZL16,ZL17,ZL18,ZLN13,ZLN14,ZLN15,ZLN16,ZLN17,ZLN18,ZN13,ZN14,ZN15,ZN16,ZN17,ZN18
6.103733,1009.027125,2.571825,7134.322440,348.784202,212.011969,41465.473560,11.240521,11.426390,167.480401,79.404637,19.483294,123.686706,1897.725395,20.475908,322.385978,2815.709536,21.130122,83.084005,7.291722,569.649492,193.402603,1485.397090,21995.080640,90.167376,2.996153,118.107676,257.166218,63.704804,61.430306,284.958545,29701.655450,405.621128,3123.076802,279.229973,8.782209,3405.799875,6183.145519,6805.236774,25064.996910,33519.613670,27.499502,30.534304,1266.254097,40.271821,17205.546260,71.316315
6.112125,32276.201870,6.023878,405460.315300,3227.690513,134.336943,981915.348900,16.288383,14.670334,26132.161850,44.666736,19.591135,70.045639,48095.097550,1552.695053,19754.254290,31708.772300,2351.034626,52.632075,14.225322,11809.455190,7691.559059,9429.311325,4489014.626000,48.419885,7.466334,23860.686670,8054.716186,38.452302,35.574883,267.584135,219771.853800,28.321669,10084.124960,233379.566600,14.226837,14432.941070,75815.663370,88480.305920,855963.809200,4587988.623000,24.343010,27.013953,11224.853500,28.928739,1468828.492000,40.616505
6.112375,33114.622330,103.496014,111165.228700,13466.463310,72.774316,227960.888900,811.165624,4031.095253,27046.589220,21246.810320,25.758833,48.369515,38052.254590,1137.533555,18160.790740,21050.221560,12958.063680,19404.310420,1462.527882,15510.675580,14512.064180,11512.002060,3751057.033000,40.798406,623.276982,34921.200950,11429.489520,12151.894670,32.797357,24312.488950,80662.759280,3596.990244,18097.671290,148220.844400,1799.476253,13590.188190,41488.098900,35935.713350,195339.092500,3185122.856000,1176.364561,1237.638962,32546.194020,4022.519046,489842.448600,2847.157769
6.113083,1125050.270000,265514.580300,5174417.709000,132518.176800,68.757627,7601318.139000,25.924369,22.937190,185110.024900,39.165625,26.777985,47.168557,1418852.420000,31.113807,726086.423300,108356.492300,26.818770,43.430797,1577.242080,463650.965400,549217.923400,208966.397800,137322004.700000,40.505622,18.596203,855123.412800,121665.437000,34.586151,32.771772,92.371049,3253463.083000,32.233162,39.137841,5016978.117000,24.625717,642612.587500,1609952.087000,1162935.330000,9109557.993000,97433019.680000,1347.766871,34.394288,1229959.976000,31.845924,17904392.600000,37.249145
6.113683,4856.692224,9.172876,9913.952705,2001.910125,12402.625010,13338.452580,3659.184405,1784.947323,8074.458183,4852.055738,2820.986215,8893.895483,1554.852064,1553.403467,2257.972423,2139.894749,2577.270084,11251.615320,1664.337319,8873.422647,1566.744005,2673.135728,893964.271300,10185.726330,707.880839,3214.312003,862.069056,1013.009894,4982.520907,11443.649140,19877.367720,4507.795683,1132.986628,22736.632720,18.098557,1554.330394,4433.206570,19254.581820,13536.820940,247208.305900,4807.240261,1092.247331,12549.002290,7244.992970,17798.263840,3678.199149
6.114000,4398.598890,53.555552,77735.823460,2245.976856,156.631266,101527.182400,14.865790,13.530320,9046.316341,49.115985,18.643060,4912.141147,22536.379090,1663.929802,1401.579348,71.670061,1926.599399,57.330912,855.146966,948.718494,2550.515203,6910.798299,368454.729500,53.397466,1017.804354,21840.324370,1253.970295,41.076988,37.823845,17585.254180,65874.003830,28.177347,2615.167318,44719.562470,1341.085186,4440.497342,12285.361220,9314.576516,234539.614000,359728.223500,23.641804,26.286450,14201.321330,29.206422,149530.492400,43.334620
6.114283,4696799.399000,41264.433500,12053012.090000,523363.797500,2307.024226,14029301.830000,33.601192,28.758518,1075153.738000,39.036412,31.381137,1077.307950,5484565.713000,582278.625300,3360816.701000,364150.931200,358435.408300,41.754681,6164.122451,2362611.364000,2747280.755000,2164327.477000,178093872.700000,39.572154,29.283002,3836155.282000,520082.899100,34.325796,32.628455,54.602197,11554177.130000,36.180901,432054.968300,8031785.179000,393.688203,2701375.105000,6195219.248000,4422431.758000,20952863.720000,87838062.660000,37.302239,40.244009,5150719.817000,34.296325,31604146.130000,37.082790
6.116583,605859.287600,61526.713540,1445623.946000,285397.969600,53.026591,1659904.572000,35.192124,50985.337190,388095.822200,308934.054500,32.102260,110802.649000,725300.696600,282639.386400,506746.350100,345129.992200,315278.845900,311478.530400,143418.297300,402354.911200,409475.715100,346636.424800,16961566.290000,39.395998,31.596922,583231.351500,290790.608300,219693.699500,32.643714,136347.498200,1273048.431000,37.010924,349476.971900,1174936.416000,3278.498799,420283.112500,820955.170300,683312.545800,2159748.195000,8261489.269000,38.460021,41.429350,618097.307800,34.761886,3096219.597000,131353.656200
6.117042,1597534.208000,122895.635900,3635023.082000,703177.790500,51.056534,3938068.614000,36.821199,31.268151,894686.361700,237916.742000,32.842758,154586.221300,1710966.593000,595231.046400,1243662.480000,794555.004300,792273.583500,239012.050900,37.469073,1065702.078000,1089017.543000,839788.330800,32545669.530000,39.218738,81484.689700,1608179.560000,542812.340700,106696.672800,32.660574,344865.807400,3488710.780000,37.869559,825901.572500,2376137.720000,5432.271409,992861.017900,1856849.027000,1515192.563000,5229073.592000,16801661.290000,39.669278,42.646042,1879750.382000,35.197760,7418756.205000,129290.147500
6.118200,990842.632100,36.638713,2251151.144000,818679.888300,48.114869,1806822.235000,39.375849,598978.433800,784592.875600,651929.846400,33.995557,738553.419500,1272804.336000,770755.467400,713033.220900,934587.849400,779919.618100,823636.107700,140572.098300,1111201.656000,885451.143400,848361.393400,10997002.230000,38.999989,20015.094680,1062016.933000,775494.045800,201264.265600,32.706478,981934.104900,2182965.647000,10059.850700,1043097.467000,1493989.058000,51008.544850,744619.546600,1398822.291000,732504.806800,2819335.556000,6047952.787000,22240.876520,44.526361,1187642.366000,8135.457188,2982895.959000,236435.210200
6.120117,274358.712700,6420.318917,799606.487500,285985.759500,50.243824,707955.420100,198331.103200,218057.336600,448632.598900,361111.842200,33.161070,245156.489200,323948.450500,259013.099400,181921.592600,345686.543400,316538.066000,267733.965100,252530.469100,159743.650600,138903.124900,438486.591700,4853813.195000,39.153611,6304.667104,256199.895900,301608.478400,324017.429400,32.671792,347317.112600,684207.169600,73079.187190,381442.072800,717473.079300,7699.821524,336930.979100,420469.482000,468324.085900,956843.319500,3280382.412000,2101.140039,44631.352930,379518.029900,35.367529,1569282.412000,276414.495600
6.121050,522138.711300,52521.514250,1100306.237000,418907.512300,10904.184800,1031507.756000,4607.939331,66099.004480,477197.286700,2155.352763,33.731798,150744.683000,441871.485300,455019.380900,614463.314100,259134.503600,322186.311000,95167.252490,293559.536000,522226.595600,587518.745700,582915.488800,6388814.487000,39.046803,190065.545200,403981.284700,364747.080400,56961.828780,2896.995510,39359.823870,739720.380200,12474.842830,252349.752000,674436.842800,31720.020740,517742.386000,461270.263900,432916.616700,1231707.343000,3470211.431000,230027.632400,118895.983900,649884.345200,35.662842,1740000.727000,98677.586320
