bin,retention_time,vlookup,significant05?,main_significant05?,Peak ID,COUNT,z_fvalue,l_fvalue,n_fvalue,zl_fvalue,zn_fvalue,ln_fvalue,zln_fvalue,c_mean,n_mean,l_mean,ln_mean,z_mean,zn_mean,zl_mean,zln_mean,z_fvalue,l_fvalue,n_fvalue,zl_fvalue,zn_fvalue,ln_fvalue,zln_fvalue,significant05?,significant01?,main_significant05?,main_significant01?
4,6.1,6.11308,TRUE,FALSE,Unknown,1,,,,0.003594358,,,,12.292,11.386,4.888,8.292,6.642,8.091,9.391,13.209,0.940278136,0.647599936,0.176706257,0.003594358,0.681167394,0.269424368,0.750931211,TRUE,TRUE,FALSE,FALSE
86,6.3,6.26111,TRUE,FALSE,ethanamine,1,,,,0.022055564,,,,11.854,11.962,10.241,11.738,11.672,10.862,12.021,12.109,0.605447961,0.78664044,0.452311905,0.022055564,0.097561706,0.113670842,0.734191561,TRUE,FALSE,FALSE,FALSE
108,6.4,6.36862,TRUE,FALSE,acetamide,1,,,,0.03264284,,,,9.147,9.041,8.256,8.484,8.544,8.459,8.999,9.109,0.930299056,0.702735202,0.822399737,0.03264284,0.919718774,0.646234293,0.905049925,TRUE,FALSE,FALSE,FALSE
126,6.5,6.52551,TRUE,TRUE,borate,1,,,0.023543081,,,,,9.344,9.642,8.367,9.283,8.573,9.449,9.187,9.937,0.664648322,0.869975954,0.023543081,0.058310029,0.736119047,0.671852136,0.558201532,TRUE,FALSE,TRUE,FALSE
140,6.9,6.8833,TRUE,FALSE,cyclohexanol,1,,,,0.013847148,,,,8.81,8.929,7.465,7.927,8.443,8.542,8.808,9.111,0.1783145,0.242806435,0.378261184,0.013847148,0.875796561,0.666980226,0.913272575,TRUE,FALSE,FALSE,FALSE
159,7.3,7.25203,TRUE,FALSE,acetic acid,1,,,,0.027019724,,,,6.682,6.881,5.474,6.154,6.762,5.455,7.885,6.99,0.445285513,0.864285101,0.617298154,0.027019724,0.116873362,0.64789111,0.972056853,TRUE,FALSE,FALSE,FALSE
178,7.7,7.74867,TRUE,FALSE,Lactic acid,1,,,,,0.019813983,,,9.001,10.005,9.396,9.949,10.021,9.393,9.526,9.624,0.776749556,0.891887316,0.25387641,0.47827162,0.019813983,0.819971697,0.195707272,TRUE,FALSE,FALSE,FALSE
188,8.2,8.24587,TRUE,TRUE,Valine,1,,,0.013357076,,,,,6.79,5.474,6.233,6.227,6.85,4.797,6.744,6.16,0.799025061,0.4048544,0.013357076,0.460827031,0.34330696,0.080416983,0.917897444,TRUE,FALSE,TRUE,FALSE
194,8.4,8.37992,TRUE,TRUE,Alanine,2,0.005225476,,0.046815474,,,,,5.754,5.008,5.353,4.714,6.188,5.976,6.49,5.679,0.005225476,0.443696312,0.046815474,0.567151124,0.708721968,0.695382472,0.540379116,TRUE,TRUE,TRUE,TRUE
217,8.6,8.64489,TRUE,TRUE,Unknown,2,,,0.027045994,0.024344584,,,,12.107,12.441,11.85,12.13,11.811,12.071,12.152,12.34,0.725519871,0.965032575,0.027045994,0.024344584,0.749875121,0.803156837,0.969755946,TRUE,FALSE,TRUE,FALSE
238,8.7,8.65118,TRUE,TRUE,oxalic acid,2,,,0.026617344,0.035292405,,,,11.636,12.004,11.275,11.686,11.316,11.587,11.651,11.892,0.779264603,0.926443944,0.026617344,0.035292405,0.660440622,0.977639272,0.903998063,TRUE,FALSE,TRUE,FALSE
363,9,9.00583,TRUE,FALSE,1-(Trimethylsilyl)-3-[(trimethylsilyl)oxy]urea,1,,,,0.025803641,,,,10.213,10.652,9.715,9.832,9.8,10.406,10.538,10.832,0.300341963,0.838734509,0.141787583,0.025803641,0.722818107,0.55531897,0.992954029,TRUE,FALSE,FALSE,FALSE
385,9.4,9.40865,TRUE,FALSE,Leucine,1,,,,0.035990507,,,,8.818,8.962,7.831,8.42,8.478,8.603,8.76,9.26,0.35452745,0.596759501,0.215534849,0.035990507,0.897423534,0.479278179,0.952053568,TRUE,FALSE,FALSE,FALSE
400,9.7,9.65193,TRUE,TRUE,Methyl phosphate,1,,,0.000117762,,,,,7.027,8.337,7.859,8.204,7.15,8.247,6.351,7.953,0.175679558,0.997032036,0.000117762,0.09127362,0.315499968,0.57901345,0.140331041,TRUE,TRUE,TRUE,TRUE
414,10.2,10.23865,TRUE,TRUE,Valine,1,0.037301092,,,,,,,6.374,6.411,6.133,5.749,6.833,7.217,8.066,6.643,0.037301092,0.737420291,0.536414805,0.451181415,0.781237294,0.229861635,0.436242378,TRUE,FALSE,TRUE,FALSE
515,11.3,11.32398,TRUE,TRUE,Phosphate,2,,,0.039354144,0.036276699,,,,9.222,9.734,8.285,8.733,8.825,9.553,9.141,9.744,0.23645783,0.211652993,0.039354144,0.036276699,0.734776164,0.869770275,0.958134998,TRUE,FALSE,TRUE,FALSE
