bin,retention_time,vlookup,significant05?,main_significant05?,Peak ID,Peak ID second,,COUNT,z_fvalue,l_fvalue,n_fvalue,zl_fvalue,zn_fvalue,ln_fvalue,zln_fvalue,,c_mean,n_mean,l_mean,ln_mean,z_mean,zn_mean,zl_mean,zln_mean,z_fvalue,l_fvalue,n_fvalue,zl_fvalue,zn_fvalue,ln_fvalue,zln_fvalue,significant05?,significant01?,main_significant05?,main_significant01?
1,6.1,6.10373,TRUE,,,BSTFA,,1,,,,0.002612632,,,,,6.43,5.9,3.69,5.293,4.224,5.265,7.496,8.068,0.264536798,0.417111332,0.28224986,0.002612632,0.840323489,0.538424063,0.380397048,TRUE,TRUE,FALSE,FALSE
2,6.1,6.11213,TRUE,,,BSTFA,,1,,,,0.013197388,,,,,8.645,8.221,4.445,8.352,5.649,6.181,9.306,10.643,0.730536755,0.430737921,0.210599119,0.013197388,0.718561051,0.262852965,0.45887017,TRUE,FALSE,FALSE,FALSE
4,6.1,6.11308,TRUE,,,BSTFA,,1,,,,0.003594358,,,,,12.292,11.386,4.888,8.292,6.642,8.091,9.391,13.209,0.940278136,0.647599936,0.176706257,0.003594358,0.681167394,0.269424368,0.750931211,TRUE,TRUE,FALSE,FALSE
6,6.1,6.114,TRUE,,,BSTFA,,1,,,,0.008776071,,,,,7.988,7.848,4.956,6.762,6.862,5.842,8.253,9.886,0.385991068,0.74182298,0.476194606,0.008776071,0.705759749,0.206738879,0.843511459,TRUE,TRUE,FALSE,FALSE
7,6.1,6.11428,TRUE,,,BSTFA,,1,,,,0.00219294,,,,,13.277,12.582,5.809,12.191,7.12,7.864,12.182,14.479,0.632752995,0.578863354,0.111686069,0.00219294,0.639191828,0.141885184,0.361514182,TRUE,TRUE,FALSE,FALSE
9,6.1,6.11704,TRUE,,,BSTFA,,1,,,,,,0.041716909,,,12.282,11.002,8.095,13.539,11.103,8.838,11.751,13.863,0.924464436,0.446791814,0.438716095,0.163433892,0.372746616,0.041716909,0.662904069,TRUE,FALSE,FALSE,FALSE
18,6.1,6.14238,TRUE,,,BSTFA,,1,,,,0.037682348,,,,,8.931,10.191,8.015,9.486,8.37,7.556,9.916,10.323,0.777922349,0.368164374,0.337645246,0.037682348,0.240066123,0.619806994,0.715926955,TRUE,FALSE,FALSE,FALSE
21,6.2,6.163,TRUE,,ethanamine,BSTFA,,1,,,,,0.042943211,,,,11.953,12.347,9.93,12.222,12.18,12.2,12.355,12.106,0.096487789,0.113757185,0.053204503,0.144849609,0.042943211,0.210359158,0.125059737,TRUE,FALSE,FALSE,FALSE
40,6.2,6.19539,TRUE,,ethanamine,BSTFA,,1,,,,0.041371674,,,,,14.407,14.489,14.588,14.414,14.525,14.537,14.453,14.122,0.365593163,0.176728024,0.200205962,0.041371674,0.538664567,0.058707953,0.777465809,TRUE,FALSE,FALSE,FALSE
42,6.2,6.19692,TRUE,,ethanamine,BSTFA,,1,,,,0.029642401,,,,,11.159,10.939,10.038,9.614,10.367,10.118,10.042,10.846,0.841611775,0.136992424,0.93386256,0.029642401,0.424237884,0.566895834,0.355554676,TRUE,FALSE,FALSE,FALSE
60,6.2,6.21247,TRUE,,ethanamine,BSTFA,,2,,,,0.028196598,,0.031899236,,,14.308,14.488,14.656,14.468,14.481,14.449,14.478,14.142,0.189292907,0.961456574,0.240738214,0.028196598,0.287490438,0.031899236,0.835497642,TRUE,FALSE,FALSE,FALSE
63,6.2,6.2154,TRUE,TRUE,ethanamine,BSTFA,,1,0.023727257,,,,,,,,6.711,5.608,5.434,6.516,6.738,7.073,7.862,8.713,0.023727257,0.352493478,0.638952638,0.212540355,0.656665483,0.283453586,0.521158924,TRUE,FALSE,TRUE,FALSE
86,6.3,6.26111,TRUE,,ethanamine,BSTFA,,1,,,,0.022055564,,,,,11.854,11.962,10.241,11.738,11.672,10.862,12.021,12.109,0.605447961,0.78664044,0.452311905,0.022055564,0.097561706,0.113670842,0.734191561,TRUE,FALSE,FALSE,FALSE
