"","c_mean","n_mean","l_mean","ln_mean","z_mean","zn_mean","zl_mean","zln_mean","z_fvalue","l_fvalue","n_fvalue","zl_fvalue","zn_fvalue","ln_fvalue","zln_fvalue","significant?"
"1",7.901,8.942,7.703,8.445,8.506,9.406,7.569,8.191,0.597781215760404,0.171394790802715,0.0702637337335791,0.408182253465197,0.888085481169094,0.751331303708477,0.990442226702611,FALSE
"2",7.678,7.569,7.518,7.774,7.762,7.799,7.569,7.563,0.728924027799716,0.469027567134179,0.751637221240596,0.309946974417023,0.868800143401506,0.4783295100444,0.401525613873205,FALSE
"3",8.8,8.415,7.586,7.569,7.654,8.287,9.672,9.031,0.406057980833889,0.870269358344259,0.88754945149508,0.0256307998300296,0.782930151291689,0.690047259772631,0.428409624631078,TRUE
"4",9.266,8.686,7.518,7.569,7.654,8.559,10.497,9.576,0.380615169290023,0.863181077716505,0.891426281174369,0.022014289270709,0.782177288461636,0.702402539204288,0.381976314504687,TRUE
"5",8.125,8.49,7.62,8.248,8.011,8.131,9.222,8.556,0.510242885506186,0.651439733067786,0.716021214615498,0.194863899783483,0.389213840481159,0.777456228173492,0.528369315583343,FALSE
"6",8.217,7.569,7.62,7.756,7.483,7.909,7.887,7.819,0.815462215693221,0.834984286780138,0.811528826516462,0.392314051132621,0.260035766579763,0.684261237174349,0.150952805694705,FALSE
"7",7.61,7.569,7.62,7.569,7.539,7.569,7.569,7.977,0.465960253479416,0.26438362104101,0.523104718569123,0.250319612340296,0.277799931538956,0.436403830808146,0.38607718483613,FALSE
"8",8.816,8.275,7.518,8.159,8.29,8.703,9.595,9.202,0.199521080607112,0.923706387526831,0.947732511302846,0.122479711411539,0.95570480900231,0.810679413407109,0.324118473056553,FALSE
"9",8.732,8.287,7.518,7.569,7.654,8.138,9.477,8.855,0.416896064532112,0.885891681009959,0.810526917596918,0.0198011656078578,0.816647315502892,0.772694836120324,0.382834899354914,TRUE
"10",8.938,9.299,7.62,7.986,9.023,9.119,9.634,9.37,0.0966788026574541,0.279112287008287,0.704037007936037,0.0601968549174722,0.627420465948634,0.84910912284557,0.836523269863239,FALSE
"11",7.751,7.569,7.518,7.897,7.819,8.57,7.803,7.814,0.179890569836887,0.524279969013425,0.327447839904545,0.357833287434008,0.473908286936425,0.90943828395055,0.185301841260915,FALSE
"12",8.954,8.332,7.518,7.569,7.654,8.132,9.753,8.991,0.454119924068816,0.866043947582943,0.70912175831888,0.016137618113664,0.811757000514459,0.81791826498829,0.350204437492651,TRUE
