"","retention_time","c_mean","n_mean","l_mean","ln_mean","z_mean","zn_mean","zl_mean","zln_mean","z_fvalue","l_fvalue","n_fvalue","zl_fvalue","zn_fvalue","ln_fvalue","zln_fvalue","significant05?","significant01?","main_significant05?","main_significant01?"
"1","6.103733333",6.43,5.9,3.69,5.293,4.224,5.265,7.496,8.068,0.264536797791789,0.417111332270021,0.282249860171255,0.00261263235618294,0.840323489246892,0.538424062903044,0.380397048228753,TRUE,TRUE,FALSE,FALSE
"2","6.112125",8.645,8.221,4.445,8.352,5.649,6.181,9.306,10.643,0.730536754737581,0.430737921007721,0.210599119285799,0.0131973878132486,0.718561050511904,0.262852965484485,0.458870170007643,TRUE,FALSE,FALSE,FALSE
"3","6.112375",8.8,9.12,7.05,9.448,8.206,8.99,10.299,10.882,0.261300254554494,0.461660495028435,0.180210984509995,0.111120132856605,0.686048614987667,0.541839841008586,0.490487555450322,FALSE,FALSE,FALSE,FALSE
"4","6.113083333",12.292,11.386,4.888,8.292,6.642,8.091,9.391,13.209,0.940278136488664,0.64759993596065,0.176706256714285,0.00359435805531534,0.681167394039518,0.269424368099327,0.750931210627204,TRUE,TRUE,FALSE,FALSE
"5","6.113683333",7.739,9.115,8.369,7.878,7.696,8.633,8.844,8.406,0.890390454125769,0.94444362610982,0.48136926605246,0.55336357288971,0.918956786605647,0.160571613694821,0.830801301091983,FALSE,FALSE,FALSE,FALSE
"6","6.114",7.988,7.848,4.956,6.762,6.862,5.842,8.253,9.886,0.385991067646419,0.741822979522933,0.476194606178086,0.00877607069409836,0.705759748982717,0.206738879298322,0.843511458727193,TRUE,TRUE,FALSE,FALSE
"7","6.114283333",13.277,12.582,5.809,12.191,7.12,7.864,12.182,14.479,0.632752995060615,0.578863354202945,0.111686069488738,0.00219293995356178,0.639191828094924,0.141885184170001,0.361514181912021,TRUE,TRUE,FALSE,FALSE
"8","6.116583333",11.563,11.796,9.166,12.874,9.486,8.498,11.102,13.102,0.484230164288688,0.315321878591535,0.291752230853117,0.12052632780934,0.505673752970747,0.189769473851496,0.920765384873092,FALSE,FALSE,FALSE,FALSE
"9","6.117041667",12.282,11.002,8.095,13.539,11.103,8.838,11.751,13.863,0.924464436152709,0.446791814322979,0.438716095394626,0.1634338919061,0.37274661576567,0.0417169092520597,0.662904068601508,TRUE,FALSE,FALSE,FALSE
"10","6.1182",10.655,12.166,10.163,13.671,11.14,10.68,12.972,13.747,0.730915423616707,0.205837659931017,0.224584325105437,0.415110932557499,0.29731446250115,0.479395904779323,0.869178155104437,FALSE,FALSE,FALSE,FALSE
"11","6.120116667",10.805,11.386,11.035,12.53,10.459,10.261,12.743,12.743,0.996856521905703,0.125192876841402,0.578178199207628,0.394330637114693,0.552304281877646,0.76493806003451,0.85312651446064,FALSE,FALSE,FALSE,FALSE
"12","6.12105",12.339,11.942,9.288,12.661,11.229,11.143,12.201,13.104,0.678849910279482,0.872129588212774,0.216087066349191,0.112590671514954,0.488160607010166,0.137569289539758,0.397463773005829,FALSE,FALSE,FALSE,FALSE
"13","6.123116667",11.055,10.54,10.126,11.234,9.537,10.718,11.045,12.297,0.822851170485755,0.268896509209247,0.244363615543752,0.198695192116881,0.489056323184966,0.501120974716116,0.559131132260087,FALSE,FALSE,FALSE,FALSE
"14","6.129041667",7.926,7.406,6.432,7.684,7.168,7.4,8.746,9.257,0.356607370672549,0.505125314357494,0.593570342601997,0.142302696263601,0.995018163696958,0.498669584315742,0.637000255594604,FALSE,FALSE,FALSE,FALSE
"15","6.129691667",7.605,8.278,7.491,7.715,7.829,8.157,8.269,8.943,0.512110453829899,0.856189382014337,0.546630575558229,0.549236334985902,0.983517920124996,0.963322076289313,0.80717472509037,FALSE,FALSE,FALSE,FALSE
"16","6.135591667",9.544,10.5,8.664,10.733,8.804,10.011,8.916,11.445,0.988443757050141,0.738615783655447,0.0855422737002015,0.536996989184483,0.883008077637463,0.529165116311867,0.956513065950538,FALSE,FALSE,FALSE,FALSE
"17","6.140966667",7.216,6.363,5.953,7.093,6.311,7.548,7.585,8.085,0.235443319828265,0.594436375918335,0.368089658200528,0.326116808086,0.520133439802274,0.551971615717373,0.256016654574446,FALSE,FALSE,FALSE,FALSE
"18","6.142383333",8.931,10.191,8.015,9.486,8.37,7.556,9.916,10.323,0.777922349349524,0.368164374387883,0.33764524625665,0.0376823477367143,0.240066122944529,0.619806994138455,0.715926954851837,TRUE,FALSE,FALSE,FALSE
"19","6.1505",7.745,7.946,7.442,7.24,6.596,7.949,9.191,7.471,0.863140572307716,0.741122321544615,0.952921339514131,0.151021945912645,0.990086327967816,0.0894616509802003,0.169884229125095,FALSE,FALSE,FALSE,FALSE
"20","6.15145",11.826,11.885,11.971,11.771,11.835,12.209,11.858,11.917,0.667217032908627,0.821446785666448,0.764953565499955,0.747082024652603,0.516681802873664,0.544084497906501,0.951696967759042,FALSE,FALSE,FALSE,FALSE
"21","6.163",11.953,12.347,9.93,12.222,12.18,12.2,12.355,12.106,0.0964877887699511,0.113757184660157,0.0532045034367347,0.14484960854017,0.0429432111700089,0.210359157635306,0.125059736554589,TRUE,FALSE,FALSE,FALSE
"22","6.16635",11.492,11.894,11.697,11.54,11.669,11.582,11.834,11.711,0.892112310350811,0.913905576515985,0.928082553057971,0.65663277155062,0.629638009637681,0.504754616632989,0.576989642229674,FALSE,FALSE,FALSE,FALSE
"23","6.168891667",8.965,8.483,8.473,7.169,8.654,8.534,8.399,9.305,0.339993101187601,0.54041178360996,0.578956800200325,0.205712132821353,0.225762450484207,0.962143866638953,0.362131356557112,FALSE,FALSE,FALSE,FALSE
"24","6.170075",13.647,14.041,13.558,13.995,14.167,13.979,13.988,13.541,0.641349123160288,0.355028881332955,0.757463288195469,0.505061451490535,0.107732301126276,0.823041680071984,0.733357807133276,FALSE,FALSE,FALSE,FALSE
